name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
Andy Stankiewicz,1969,429,844,105,203,45,3,4,59,17,9,80,141,1998,0.240521327,0.306277056,0.315165877,0.621442933
Andy Swan,1861,8,31,5,8,1,0,0,31,6,2,0,37,1884,0.258064516,0.258064516,0.290322581,0.548387097
Andy Tomberlin,1970,192,305,40,71,6,2,11,38,6,1,26,103,1998,0.232786885,0.29305136,0.373770492,0.666821851
Andy Tracy,1982,149,277,35,64,10,2,13,43,1,0,30,99,2009,0.231046931,0.306188925,0.422382671,0.728571597
Andy Van Slyke,1960,1658,5711,835,1562,293,91,164,792,245,59,667,1063,1995,0.273507267,0.349482596,0.442829627,0.792312223
Andy Wilkins,1992,43,67,5,9,3,0,1,5,1,0,5,32,2016,0.134328358,0.194444444,0.223880597,0.418325041
Andy Woehr,1900,63,193,14,47,6,5,0,20,2,2,6,9,1924,0.243523316,0.266331658,0.32642487,0.592756529
Angel Alfonso,1901,302,1168,200,321,57,19,16,156,31,16,137,224,1930,0.274828767,0.350957854,0.397260274,0.748218128
Angel Aragon,1892,33,76,4,9,1,0,0,5,2,7,5,6,1917,0.118421053,0.172839506,0.131578947,0.304418454
Angel Berroa,1978,746,2575,329,665,118,21,46,254,50,20,117,460,2009,0.258252427,0.290490342,0.373980583,0.664470924
Angel Bravo,1946,149,218,26,54,7,3,1,12,2,2,20,31,1971,0.247706422,0.31092437,0.321100917,0.632025287
Angel Echevarria,1973,328,543,70,152,32,0,21,90,1,4,46,104,2002,0.279926335,0.336162988,0.454880295,0.791043283
Angel Mangual,1947,450,1241,122,304,44,8,22,125,5,8,59,187,1976,0.244963739,0.279230769,0.346494762,0.625725532
Angel Mart챠nez,2001,43,151,16,35,7,0,3,11,3,1,15,33,2024,0.231788079,0.301204819,0.337748344,0.638953164
Angel Pena,1976,71,187,18,39,7,0,5,23,0,1,13,47,2001,0.20855615,0.26,0.326203209,0.586203209
Angel Salazar,1961,383,886,69,188,33,6,2,59,6,6,19,150,1988,0.212189616,0.228729282,0.269751693,0.498480975
Angel Sanchez,1987,185,570,67,145,19,4,1,54,3,1,38,93,2013,0.254385965,0.300986842,0.307017544,0.608004386
Angel Santos,1979,41,92,11,19,4,1,3,7,1,1,5,25,2003,0.206521739,0.24742268,0.369565217,0.616987898
Angelo Encarnacion,1972,76,198,23,50,10,2,3,15,3,1,13,34,1997,0.252525253,0.298578199,0.368686869,0.667265068
Anse Moore,1923,51,134,16,28,4,0,1,8,1,1,12,9,1946,0.208955224,0.273972603,0.26119403,0.535166633
Anthony Alford,1994,102,220,25,46,7,2,8,20,11,6,16,91,2022,0.209090909,0.262711864,0.368181818,0.630893683
Anthony Bemboom,1996,82,192,17,31,4,0,5,12,0,1,17,63,2023,0.161458333,0.229665072,0.260416667,0.490081738
