plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm
제약 스마트공장 혁신기술 인재 양성,"제약혁신기술(QbD 등) 교육, 세미나를 통한 전문가 양성 및 맞춤형 기술 컨설팅","(교육) 제약현장 의약품 개발에 종사하고 있는 재직자를 대상으로 국내외 전문가를 초빙하여 제약혁신기술 교육 및 국제세미나 개최
(컨설팅) 제약혁신기술(QbD 등)을 적용하여 의약품 개발을 계획, 추진 중인 국내 제약사의 신청 분야에 따른 맞춤형 기술 컨설팅 제공 ",,https://rspolicy.dongguk.edu/rspolicy5_1,0,0,교육,미래역량강화
직업계고 학생 현장실습 내실화,괜찮은 현장실습 기회 발굴과 참여자 지원을 통해 내실 있는 현장실습 운영 및 참여 활성화 추진,"직업계고 현장실습처 발굴·확대, 중앙취업지원센터 운영, 취업지원관 확대 배치 등 현장실습 내실화",,,16,19,일자리,취업
2025년 1차 경기도 청년면접수당 모집,경기도 청년의 적극적 구직활동을 지원하고자 「경기도 청년 면접수당」 지원 대상자를 아래와 같이 모집 공고 합니다.,"○ 지원내용: 연간 1인 면접 1회 당 5만원, 최대 50만원 지역화폐 지원
○ 지급방법: 신청서 내 선택한 이용 지역의 경기도 지역화폐로 지급",20250618 ~ 20250718,https://apply.jobaba.net/bsns/bsnsDetailView.do?bsnsSeq=4487,18,39,일자리,취업
(청년 금융교육 지원) e-금융교육센터 재무상담 사례 게시판,"e-금융교육센터에
금융감독원의 무료 맞춤형 금융소비자 상담 사례를
연령, 재무상황, 상담범위 등의 기준에 따라 확인할 수 있도록 게시","e-금융교육센터에
금융감독원의 무료 맞춤형 금융소비자 상담 사례를
연령, 재무상황, 상담범위 등의 기준에 따라 확인할 수 있도록 게시",,https://www.fss.or.kr/edu/bbs/B0000418/list.do?menuNo=300210,0,0,"교육,교육","미래역량강화,온라인교육"
(청년 금융교육 지원) 청년층을 위한 실전 재무설계 온라인 동영상,"금융감독원에서는 청년층이 장기적 안목을 갖고 안정적이고 건전한 금융생활을 할 수 있도록 지원하기 위해 학자금 조달, 종잣돈 마련, 재무설계, 주거자금 마련 등 청년기에 꼭 필요한 금융관련 내용을 총 8편의 영상으로 제작하여 금융감독원의 유튜브 채널과 e-금융교육센터에 공개","청년층을 위한 금융교육 영상 구성
➊ 학자금 마련하기 : 대학 학자금 부담, 학자금 마련 방법 등 - 7분
➋ 사회초년기 자금관리 : 종잣돈 마련하기, 연말정산, 위험에 대비하기 등 - 12분
➌ 결혼자금 마련 : 결혼 관련 통계 현황, 결혼자금 마련 계획 등 - 11분
➍ 사회초년기 재무설계 : 재무설계의 의의, 재무설계 프로세스 등 - 12분
➎ 신혼부부의 경제생활 적응 :  우리가족 인생설계 그려보기, 공동목표 설정하기 등 - 10분
➏ 자녀 출산 및 양육비 준비 :  출산·양육비 예상하기, 출산·양육비 부담 줄여보기 등 - 10분
➐ 주택자금 마련 : 주택자금 마련 방법 및 자금 준비하기 등 - 20분
➑ 신혼기 부부의 재무설계 : 재무목표 수립하기, 재무상태 점검 및 실행하기 등 - 16분",,https://www.fss.or.kr/edu/fec/contMng/contSearch.do?menuNo=300016,0,0,"교육,교육","미래역량강화,온라인교육"
한·일대학생연수,일본 현지 어학연수 및 인턴십 지원,"참가학생 1인당 850만원 내외 지원
*항공료, 비자발급비, 인턴십 관리운영비, 보험료 등
*취업 취약계층은 최대 350만원 추가지원",,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=102648&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020502&opType=N,0,0,교육,미래역량강화
(청년 금융교육 지원) 대학생 금융교육봉사단,"어린이, 청소년 및 어르신 등을 위해 금융교육 봉사활동을 수행할 ｢대학생 금융교육 봉사단｣을 모집합니다.","금융감독원은 2012년부터 금융교육에 대한 높은 열정과 사명감을 지닌 대학생을 ｢FSS 대학생 금융교육 봉사단｣으로 선발하여◦ 초‧중‧고 방문교육, 어린이 ‘늘봄학교 금융교육’, 청소년 ‘방과후 금융교실’, 어르신 ‘디지털 금융교육’ 등의 금융교육 봉사활동을 활발히 실시해오고 있습니다.
 ※ 봉사단 출범부터 ’24년까지 총 5,703회(약 25.5만명 교육)의 봉사활동 수행

금융지식 및 강의역량을 향상시키고 봉사의 기쁨도 누릴 수 있는 ｢대학생 금융교육 봉사단｣에 많은 관심과 참여 바랍니다.

(모집인원) 총 100명 이내에서 교육수요 등을 고려하여 지역별로 선발
(지원자격) 전국 4년제 대학 1~3학년 재학생 및 동 학년에 준하는 휴학생으로 다음의 요건 중 1개 이상을 충족한 자
① 금융감독원에서 지원하는 ‘대학 실용금융’ 강좌를 이수했거나 이수중인 자(K-MOOC*를 통한 ‘실용금융의 이론과 실제’ 강좌 이수도 인정)
 * K-MOOC(Korean Massive Open Online Course) : 국가평생교육진흥원에서 운영중인 공개강좌 플랫폼
② 금융감독원 ｢FSS 금융아카데미｣ 수료자
③ 금융교육 봉사 경험이 있는 자
④ 한국은행, 한국거래소 등 공적 기관의 금융교육을 10시간 이상 수강한 자⑤ 어린이‧청소년·어르신 대상 금융교육 봉사활동에 열의가 있는 자*
 * 자기소개서로 평가

(활동지원) 금융교육 봉사에 필요한 금융지식 및 강의역량을강화할 수 있는 강사연수를 진행
그 외 금융교육 진행시 활용할 수 있는 금융교육 교재(교구)·강의안을 제공하며, 교육을 진행할 때마다 소정의 활동비를 지원
(활동혜택) 발대식에 참여한 봉사단원에게는 금감원장명의의 ‘FSS 대학생 금융교육 봉사단 위촉장’을 수여하고 5회 이상 금융교육 봉사활동 시 ‘봉사활동 인증서’를 발급하며 우수 봉사단원 선정 시 포상 등 혜택을 부여",20250602 ~ 20250627,https://www.fss.or.kr/edu/main/contents.do?menuNo=300077,19,40,교육,미래역량강화
파란사다리,취약계층 대학생에게 해외연수를 통한 진로탐색 기회 제공,"1인당 평균 400만원 내외(항공료, 보험료, 교육비, 체제비(일부))
*파견 국가(권역)별 물가수준 및 온오프라인 운영방식에 따라 지원금 변동가능
*중기 유형 참여대학 대상 지원금 추가지원 예정(참가자 당 약 5백만원)",,https://www.moe.go.kr/boardCnts/viewRenew.do?boardID=72761&boardSeq=102647&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020502&opType=N,0,0,교육,미래역량강화
한·미대학생연수(WEST),미국 현지 어학연수 및 인턴십 지원,"참가비·생활비(소득분위별 차등지급), 왕복항공료(정액)",,http://www.niied.go.kr/user/nd81540.do,0,0,교육,미래역량강화
(청년 금융교육 지원) 대학 실용금융 강좌,금융감독원은 대학생에게 체계적인 금융교육을 제공하기 위하여 2016년부터 실용금융강좌 개설을 지원하고 있습니다.,"①교수지원 : 금융감독원 금융교육국 소속 교수(금감원 국/실장, 부국장 등 관리직을 역임했던 직원)가 한 학기 강좌를 담당(학사관리 포함), 통상적으로 겸임교원, 강사 등으로 임용되어 기간 중 활동 -- 강사료는 없음(금융감독원 부담)

②교재지원 : 본 프로그램의 전용 교재인 '대학생을 위한 실용금융(24년 개정판)'을 수강인원만큼 제공하고, 교수는 대학 측에서 자체적으로 섭외하여 진행

③온라인 강의 영상 지원 : 한 학기(15주차) 기준 운영이 가능한 강의 영상을 제공하며, 대학은 학내 LMS등에 탑재하여 운영(통상 비교과로 운영, 별도의 보고 의무 없음)",20250604 ~ 20250630,https://www.fss.or.kr/edu/fem/collegeUtilityCourse/view.do?menuNo=300035&evenNo=336,0,0,교육,온라인교육
